Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,120.500000,134.500000,120.500000,130.000000,130.000000,8385979
2021-10-19,130.949997,138.649994,129.300003,131.350006,131.350006,6897750
2021-10-20,132.399994,132.949997,119.400002,126.300003,126.300003,3599416
2021-10-21,127.199997,134.899994,124.650002,132.100006,132.100006,5831890
2021-10-22,134.000000,137.000000,127.099998,129.300003,129.300003,3419878
2021-10-25,130.000000,131.000000,120.699997,124.699997,124.699997,2462309
2021-10-26,125.900002,138.100006,125.900002,136.600006,136.600006,5929476
2021-10-27,137.000000,139.000000,127.550003,130.649994,130.649994,8813951
2021-10-28,132.000000,134.500000,128.600006,130.949997,130.949997,3041270
2021-10-29,130.949997,136.300003,126.250000,131.350006,131.350006,2848084
2021-11-01,132.399994,146.899994,130.399994,143.600006,143.600006,6334600
2021-11-02,141.600006,143.149994,138.449997,139.500000,139.500000,2983343
2021-11-03,140.000000,142.699997,134.000000,135.300003,135.300003,2136922
2021-11-04,136.199997,137.800003,135.899994,137.399994,137.399994,478467
2021-11-08,138.250000,141.000000,134.699997,140.250000,140.250000,2257234
2021-11-09,139.649994,144.250000,139.000000,139.949997,139.949997,3170037
2021-11-10,138.250000,142.000000,136.750000,137.449997,137.449997,1541974
2021-11-11,136.949997,138.550003,133.399994,134.100006,134.100006,1006219
2021-11-12,135.000000,136.800003,132.000000,135.649994,135.649994,1365916
2021-11-15,136.000000,137.100006,130.050003,130.699997,130.699997,1450278
2021-11-16,131.149994,131.600006,127.500000,128.449997,128.449997,1374891
2021-11-17,127.500000,132.649994,127.099998,131.399994,131.399994,2255825
2021-11-18,133.500000,134.300003,122.000000,124.400002,124.400002,3840469
2021-11-22,125.250000,128.750000,121.199997,127.349998,127.349998,2866255
2021-11-23,126.000000,130.350006,124.199997,129.300003,129.300003,1635486
2021-11-24,129.800003,135.000000,127.150002,128.100006,128.100006,2891760
2021-11-25,128.449997,128.500000,123.400002,123.949997,123.949997,2815675
2021-11-26,123.000000,123.150002,115.000000,116.449997,116.449997,2582000
2021-11-29,112.000000,121.949997,108.800003,120.349998,120.349998,2766499
2021-11-30,120.750000,123.400002,116.000000,116.900002,116.900002,2333204
2021-12-01,118.000000,118.250000,114.199997,115.699997,115.699997,1204746
2021-12-02,115.500000,117.750000,114.900002,116.500000,116.500000,692079
2021-12-03,115.599998,119.900002,115.599998,116.849998,116.849998,963456
2021-12-06,117.750000,117.750000,111.500000,112.199997,112.199997,881303
2021-12-07,113.800003,117.500000,113.449997,116.500000,116.500000,1319747
2021-12-08,117.699997,118.599998,114.250000,115.300003,115.300003,943254
2021-12-09,116.000000,116.900002,115.000000,116.050003,116.050003,743419
2021-12-10,116.000000,118.000000,115.750000,117.150002,117.150002,630928
2021-12-13,119.699997,124.400002,119.400002,122.400002,122.400002,3341622
2021-12-14,121.400002,123.500000,120.500000,121.000000,121.000000,1149987
2021-12-15,121.500000,124.699997,118.650002,119.349998,119.349998,1457785
2021-12-16,120.300003,121.099998,117.050003,117.500000,117.500000,696542
2021-12-17,117.800003,121.000000,111.599998,112.199997,112.199997,1496383
2021-12-20,111.000000,111.099998,105.500000,107.349998,107.349998,973834
2021-12-21,109.000000,111.900002,108.000000,109.300003,109.300003,712421
